Title: Gale2013MORB-1

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-QFM rhol rhos viscosity aH2O chisqr
5000.00 1573.15 100.144951 1.0000000000000000 1.000000 275.487313 -1187158.426977 36.642018 -184.599996 2461.409795 149.232743 -7.247 0.000 2.733063 0.000000 2.110 0 0.000
5000.00 1568.15 100.145103 1.0000000000000000 1.000000 275.012574 -1187906.766512 36.629837 -184.682585 2461.472676 149.233525 -7.296 0.000 2.733976 0.000000 2.131 0 0.000
5000.00 1563.15 100.145261 1.0000000000000000 1.000000 274.536325 -1188655.191961 36.617660 -184.765330 2461.537811 149.234336 -7.346 0.000 2.734890 0.000000 2.151 0 0.000
5000.00 1558.15 100.145425 1.0000000000000000 1.000000 274.058555 -1189403.704888 36.605487 -184.848236 2461.605233 149.235174 -7.396 0.000 2.735804 0.000000 2.172 0 0.000
5000.00 1553.15 100.145594 1.0000000000000000 1.000000 273.579255 -1190152.306893 36.593318 -184.931307 2461.674976 149.236041 -7.447 0.000 2.736718 0.000000 2.193 0 0.000
5000.00 1548.15 100.145769 1.0000000000000000 1.000000 273.098414 -1190900.999609 36.581153 -185.014549 2461.747074 149.236938 -7.498 0.000 2.737633 0.000000 2.214 0 0.000
5000.00 1543.15 100.145949 1.0000000000000000 1.000000 272.616023 -1191649.784700 36.568992 -185.097967 2461.821562 149.237864 -7.549 0.000 2.738548 0.000000 2.235 0 0.000
5000.00 1538.15 100.146136 1.0000000000000000 1.000000 272.132071 -1192398.663870 36.556835 -185.181566 2461.898477 149.238821 -7.600 0.000 2.739464 0.000000 2.256 0 0.000
5000.00 1533.15 100.145914 0.9718226965469147 0.975984 270.835094 -1194386.181639 36.409535 -182.266275 2433.375868 148.178381 -7.652 0.000 2.738814 3.227124 2.305 0 0.000
5000.00 1528.15 100.145860 0.9438740267392426 0.952033 269.546452 -1196357.579496 36.263517 -179.376552 2404.599458 147.128408 -7.704 0.000 2.737948 3.231350 2.355 0 0.000
5000.00 1523.15 100.145980 0.9171544057484873 0.929017 268.295524 -1198268.154951 36.123619 -176.616913 2376.572657 146.126704 -7.757 0.000 2.736913 3.235630 2.407 0 0.000
5000.00 1518.15 100.146264 0.8915636617738105 0.906869 267.079666 -1200122.098702 35.989383 -173.975260 2349.198858 145.169511 -7.810 0.000 2.735699 3.239960 2.459 0 0.000
5000.00 1513.15 100.146613 0.8636724966033684 0.882138 265.820292 -1202036.914545 35.854417 -170.907327 2317.819812 144.158713 -7.863 0.000 2.734677 3.230752 2.511 0 0.000
5000.00 1508.15 100.145764 0.7951286435466787 0.815485 263.661520 -1205282.714475 35.652545 -161.172848 2229.872646 142.022861 -7.917 0.000 2.738819 3.118835 2.534 0 0.000
5000.00 1503.15 100.144724 0.7306224424337868 0.751975 261.632286 -1208319.268702 35.465235 -151.837870 2146.707477 140.040425 -7.970 0.000 2.743562 3.066840 2.553 0 0.000
5000.00 1498.15 100.143561 0.6701686160834274 0.691788 259.725381 -1211159.903850 35.291564 -142.939470 2068.518003 138.206453 -8.025 0.000 2.748927 3.036648 2.567 0 0.000
5000.00 1493.15 100.142340 0.6138900418828285 0.635203 257.936333 -1213813.721868 35.130846 -134.532785 1995.615556 136.518784 -8.079 0.000 2.754908 3.017095 2.577 0 0.000
5000.00 1488.15 100.141113 0.5617837665701321 0.582359 256.258929 -1216292.087982 34.982201 -126.651413 1928.099257 134.971816 -8.134 0.000 2.761493 3.003656 2.583 0 0.000
5000.00 1483.15 100.139912 0.5136671746809012 0.533191 254.684362 -1218609.776922 34.844513 -119.296081 1865.782457 133.555493 -8.190 0.000 2.768675 2.994105 2.585 0 0.000
5000.00 1478.15 100.138758 0.4691709645487213 0.487423 253.202849 -1220782.672972 34.716513 -112.431679 1808.168507 130.411111 -8.245 0.000 2.776458 2.987183 2.582 0 0.000
5000.00 1473.15 100.137723 0.4274285110230733 0.444256 251.788400 -1222851.376084 34.596461 -105.936782 1753.857651 129.369502 -8.302 0.000 2.784814 2.982091 2.574 0 0.000
5000.00 1468.15 100.136754 0.3888138759969858 0.404137 250.447222 -1224806.440037 34.484007 -99.896060 1703.608824 128.412452 -8.358 0.000 2.793757 2.978537 2.563 0 0.000
5000.00 1463.15 100.135838 0.3529376393757273 0.366716 249.169629 -1226662.555009 34.378201 -94.258347 1656.863343 127.528234 -8.415 0.000 2.803332 2.976145 2.547 0 0.000
