Title: Gale2013MORB-0

Phase Volumes:
Pressure Temperature mass V liquid_0 clinopyroxene_0 feldspar_0 
5000.00 1573.15 100.130941 36.743535 36.743535 0.000000 0.000000 
5000.00 1568.15 100.131079 36.731289 36.731289 0.000000 0.000000 
5000.00 1563.15 100.131222 36.719046 36.719046 0.000000 0.000000 
5000.00 1558.15 100.131370 36.706807 36.706807 0.000000 0.000000 
5000.00 1553.15 100.131522 36.694572 36.694572 0.000000 0.000000 
5000.00 1548.15 100.131680 36.682340 36.682340 0.000000 0.000000 
5000.00 1543.15 100.131844 36.670111 36.670111 0.000000 0.000000 
5000.00 1538.15 100.131683 36.596957 36.197935 0.399023 0.000000 
5000.00 1533.15 100.131297 36.448575 35.162199 1.286376 0.000000 
5000.00 1528.15 100.131118 36.304830 34.164331 2.140499 0.000000 
5000.00 1523.15 100.131114 36.166310 33.207377 2.958934 0.000000 
5000.00 1518.15 100.131270 36.032973 32.290363 3.742610 0.000000 
5000.00 1513.15 100.130708 35.850666 30.302700 4.704467 0.843499 
5000.00 1508.15 100.129208 35.634962 27.455766 5.763256 2.415940 
5000.00 1503.15 100.127592 35.439085 24.831940 6.706268 3.900877 
